,,,,,,Tacles,Tacles,Tacles,Tacles,Tacles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressions,Pressions,Pressions,Pressions,Pressions,Pressions,Balles contrées,Balles contrées,Balles contrées,Balles contrées,,,,
Joueur,#,Nation,Pos,Âge,Min,Tcl,TclR,ZDéf,MilTer,ZOff,Tcl,Tenté,Tcl%,Passé,Press,Réussi,%,ZDéf,MilTer,ZOff,Balles contrées,Tirs,TirBl,Passe,Int,Tcl+Int,Dég,Err
Kevin De Bruyne\Kevin-De-Bruyne,17,be BEL,FW,29-335,59,2,0,0,0,2,0,2,0.0,2,11,4,36.4,0,2,9,1,0,0,1,1,3,0,0
Gabriel Jesus\Gabriel-Jesus,9,br BRA,FWLW,24-056,31,1,1,1,0,0,0,0,,0,11,3,27.3,3,5,3,1,0,0,1,0,1,0,0
Raheem Sterling\Raheem-Sterling,7,eng ENG,LW,26-172,76,1,1,0,1,0,0,0,,0,5,2,40.0,0,3,2,1,0,0,1,0,1,0,0
Sergio Agüero\Sergio-Aguero,10,ar ARG,FWLW,32-361,14,0,0,0,0,0,0,0,,0,1,0,0.0,0,0,1,0,0,0,0,0,0,0,0
Riyad Mahrez\Riyad-Mahrez,26,dz ALG,RW,30-097,90,0,0,0,0,0,0,0,,0,10,4,40.0,1,2,7,1,0,0,1,0,0,1,0
Phil Foden\Phil-Foden,47,eng ENG,CM,21-001,90,0,0,0,0,0,0,2,0.0,2,22,3,13.6,3,5,14,0,0,0,0,0,0,0,0
Bernardo Silva\Bernardo-Silva,20,pt POR,CM,26-292,63,1,0,0,1,0,1,3,33.3,2,18,3,16.7,5,9,4,0,0,0,0,1,2,0,0
Fernandinho\Fernandinho,25,br BRA,DMCM,36-025,27,0,0,0,0,0,0,0,,0,4,1,25.0,0,3,1,2,0,0,2,0,0,0,0
İlkay Gündoğan\Ilkay-Gundogan,8,de GER,DMCM,30-217,90,0,0,0,0,0,0,0,,0,8,1,12.5,1,6,1,0,0,0,0,1,1,0,0
Oleksandr Zinchenko\Oleksandr-Zinchenko,11,ua UKR,LB,24-165,90,4,3,2,2,0,2,4,50.0,2,17,9,52.9,7,9,1,2,0,0,2,1,5,4,0
Rúben Dias\Ruben-Dias,3,pt POR,CB,24-015,90,1,0,0,1,0,0,0,,0,6,1,16.7,2,3,1,2,0,0,2,2,3,1,0
John Stones\John-Stones,5,eng ENG,CB,27-001,90,0,0,0,0,0,0,1,0.0,1,2,0,0.0,1,1,0,3,1,0,2,0,0,5,1
Kyle Walker\Kyle-Walker,2,eng ENG,RB,31-001,90,2,1,0,2,0,1,3,33.3,2,14,3,21.4,1,7,6,0,0,0,0,1,3,0,0
Ederson\Ederson,31,br BRA,GK,27-285,90,0,0,0,0,0,0,1,0.0,1,1,0,0.0,1,0,0,0,0,0,0,0,0,0,0
14 joueurs,,,,,990,12,6,3,7,2,4,16,25.0,12,130,34,26.2,25,55,50,13,1,0,12,7,19,11,1
