,,,,,,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Balle au pied,Balle au pied,Balle au pied,Balle au pied,Balle au pied,Balle au pied,Balle au pied,Balle au pied,Recevant,Recevant,Recevant,Recevant
Joueur,#,Nation,Pos,Âge,Min,Touches,SurfRépDéf,ZDéf,MilTer,ZOff,SurfRépOff,Action de jeu,Réussi,Tenté,Réussi%,#Jo,PPont,Balle au pied,TotDist,DistBut,Prog,1/3,CSR,Manqué,Perte,Cible,Rec,%Rec,Prog
Kevin De Bruyne\Kevin-De-Bruyne,17,be BEL,FW,29-335,59,31,0,2,14,17,3,29,1,1,100.0,1,0,14,94,49,3,1,1,1,3,28,22,78.6,5
Gabriel Jesus\Gabriel-Jesus,9,br BRA,FWLW,24-056,31,18,0,1,5,12,5,18,1,2,50.0,1,0,12,77,45,2,0,1,1,0,16,15,93.8,5
Raheem Sterling\Raheem-Sterling,7,eng ENG,LW,26-172,76,29,0,0,6,25,7,29,0,0,,0,0,22,149,111,3,2,2,1,4,35,24,68.6,6
Sergio Agüero\Sergio-Aguero,10,ar ARG,FWLW,32-361,14,5,0,0,1,4,1,5,0,1,0.0,0,0,4,6,4,0,0,0,0,0,7,5,71.4,2
Riyad Mahrez\Riyad-Mahrez,26,dz ALG,RW,30-097,90,48,0,4,26,27,6,46,1,4,25.0,1,0,33,207,96,4,2,2,1,0,50,42,84.0,7
Phil Foden\Phil-Foden,47,eng ENG,CM,21-001,90,56,0,2,27,31,4,54,4,8,50.0,4,0,39,118,54,3,2,1,2,0,58,46,79.3,5
Bernardo Silva\Bernardo-Silva,20,pt POR,CM,26-292,63,27,0,3,20,5,0,26,0,1,0.0,0,0,17,117,57,2,0,0,0,0,27,20,74.1,1
Fernandinho\Fernandinho,25,br BRA,DMCM,36-025,27,26,0,3,22,3,1,26,0,0,,0,0,16,157,96,6,1,1,0,0,21,19,90.5,1
İlkay Gündoğan\Ilkay-Gundogan,8,de GER,DMCM,30-217,90,84,0,13,62,17,0,82,1,2,50.0,1,0,47,273,129,10,4,0,0,1,78,71,91.0,1
Oleksandr Zinchenko\Oleksandr-Zinchenko,11,ua UKR,LB,24-165,90,106,3,16,60,35,0,86,1,2,50.0,2,0,49,236,98,5,2,0,3,2,65,63,96.9,2
Rúben Dias\Ruben-Dias,3,pt POR,CB,24-015,90,95,6,22,75,8,3,95,0,0,,0,0,62,376,271,10,3,0,1,0,81,78,96.3,2
John Stones\John-Stones,5,eng ENG,CB,27-001,90,104,11,41,71,4,1,102,0,0,,0,0,75,642,433,18,2,0,0,0,84,84,100.0,0
Kyle Walker\Kyle-Walker,2,eng ENG,RB,31-001,90,87,2,8,66,18,1,76,4,5,80.0,4,0,62,273,129,5,1,1,4,0,59,58,98.3,4
Ederson\Ederson,31,br BRA,GK,27-285,90,28,20,26,3,0,0,20,0,0,,0,0,9,63,37,1,0,0,0,0,13,13,100.0,0
14 joueurs,,,,,990,744,42,141,458,206,32,694,13,26,50.0,14,0,461,2788,1609,72,20,9,14,10,622,560,90.0,41
